amount,companyId,date,donorName,donorType,party,year,donor_has_won_tenders,amountString,dateOriginal
5000.0,4210090320008,2022-12-31,DELING INVEST D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,,,
300.0,4218209460009,2018-09-24,DELTA PETROL D.O.O. KAKANJ,company,K-004 STRANKA ZA BIH,2018,True,,
1000.0,4218209460009,2018-08-24,DELTA PETROL D.O.O. KAKANJ,company,K-008 SDP BIH,2018,True,,
300.0,4218209460009,2019-01-28,DELTA PETROL D.O.O. KAKANJ,company,K-008 SDP BIH,2019,True,,
300.0,4218209460009,2018-09-24,DELTA PETROL D.O.O. KAKANJ,company,K-1698 DEMOKRATSKA FRONTA,2018,True,,
200.0,4218209460009,2020-10-16,DELTA PETROL D.O.O. KAKANJ,company,K-2317 NAROD I PRAVDA,2020,True,,
100.0,4218209460009,2020-10-22,DELTA PETROL D.O.O. KAKANJ,company,K-2328 NEZAVISNA BH LISTA,2020,True,,
1000.0,4209188020004,2022-09-23,DENIX DOO,company,K-008 SDP BIH,2022,True,,
13000.0,4209188020004,2022-12-31,DENIX DOO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,True,,
5000.0,4209188020004,2020-10-22,DENIX DOO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
2000.0,4209188020004,2020-10-14,DENIX DOO,company,K-2321 POKRET DEMOKRATSKE AKCIJE,2020,True,,
3000.0,4209188020004,2020-11-02,DENIX DOO,company,K-2328 NEZAVISNA BH LISTA,2020,True,,
10000.0,4201831100001,2020-11-11,DILBER DOO,company,K-2317 NAROD I PRAVDA,2020,True,,
1000.0,4200426560007,2022-06-08,DINALSA D.O.O. SARAJEVO,company,K-008 SDP BIH,2022,True,,
1000.0,4210007360001,2022-09-27,DINAMICO DOO KALESIJA,company,K-008 SDP BIH,2022,True,,
150.0,4245079550008,2018-06-13,DINO MARKET D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,True,,
250.0,4209331780007,2020-11-10,DISK DOO,company,K-008 SDP BIH,2020,True,,
1000.0,4209331780007,2018-10-04,DISK DOO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,True,,
250.0,4209331780007,2020-12-31,DISK DOO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
600.0,4600320840009,2020-10-28,GRADNJA DMD,company,K-2317 NAROD I PRAVDA,2020,,,
500.0,4209776710009,2022-09-26,DOO '' SANČO '' SREBRENIK,company,K-008 SDP BIH,2022,True,,
300.0,4209168420006,2020-10-27,"DOO ""AMMAR""",company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
300.0,4209168420006,2020-10-06,"DOO ""AMMAR""",company,K-2321 POKRET DEMOKRATSKE AKCIJE,2020,True,,
1000.0,4401118080008,2018-10-05,DOO ASIKS,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,True,,
5000.0,4209297660005,2022-11-01,DOO BABILON TUZLA,company,K-008 SDP BIH,2022,True,,
4000.0,4209297660005,2021-12-20,DOO BABILON TUZLA,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2021,True,,
15000.0,4209297660005,2022-12-31,DOO BABILON TUZLA,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,True,,
10000.0,4209297660005,2020-12-31,DOO BABILON TUZLA,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
10000.0,4209297660005,2023-12-31,DOO BABILON TUZLA,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2023,True,,
1000.0,4263542260004,2022-09-09,DOO BUSHEL BIHAĆ,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2022,True,,
2000.0,4263542260004,2018-09-27,DOO BUSHEL BIHAĆ,company,K-882 A-SDA,2018,True,,
500.0,4263660030005,2020-10-28,DOO ČAVKUNOVIĆ-TRADE,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2020,True,,
1000.0,4209298550009,2018-08-31,DOO HM-COMMERCE TUZLA,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,,,
300.0,4209298550009,2019-05-21,DOO HM-COMMERCE TUZLA,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,,,
500.0,4209476160007,2020-12-31,DOO MENTON-AP ŽIVINICE,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
5000.0,4401419520003,2018-08-14,MIBO KOMUNIKACIJE D.O.O.,company,K-008 SDP BIH,2018,True,,
500.0,4209577350001,2018-10-05,"DOO""HIDRA CO""",company,K-2321 POKRET DEMOKRATSKE AKCIJE,2018,True,,
500.0,4400365390005,2018-09-19,"DOO""ZP KOMERC""VRŠANI",company,K-1718 NARODNI DEMOKRATSKI POKRET,2018,True,,
100.0,4245050730007,2018-06-05,DOO.DAMIR-COMPANY,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,True,,
300.0,4200941330006,2018-07-03,DQS BH - BHCERT D.O.O.,company,K-2328 NEZAVISNA BH LISTA,2018,True,,
100.0,4245021710005,2018-06-05,DRINEX D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,True,,
500.0,4218187800005,2022-09-09,DSM TRADE DOO KAKANJ,company,K-004 STRANKA ZA BIH,2022,True,,
500.0,4218187800005,2018-09-18,DSM TRADE DOO KAKANJ,company,K-004 STRANKA ZA BIH,2018,True,,
500.0,4218187800005,2018-09-18,DSM TRADE DOO KAKANJ,company,K-008 SDP BIH,2018,True,,
500.0,4218187800005,2020-10-26,DSM TRADE DOO KAKANJ,company,K-2328 NEZAVISNA BH LISTA,2020,True,,
300.0,4218187800005,2018-09-28,DSM TRADE DOO KAKANJ,company,K-2328 NEZAVISNA BH LISTA,2018,True,,
5000.0,4201351660007,2018-04-20,DTQ D.O.O.,company,K-2314 NEZAVISNI BLOK,2018,True,,
5000.0,4201351660007,2018-05-24,DTQ D.O.O.,company,K-2314 NEZAVISNI BLOK,2018,True,,
-400.0,4209226050001,2018-08-27,DZENA,company,K-008 SDP BIH,2018,True,,
200.0,4218341730007,2021-02-23,DZINO DOO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2021,,,
150.0,4218931290002,2021-03-25,DZINO PETROL D.O.O. MAGLAJ,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2021,True,,
1000.0,4236614460006,2019-12-31,EBB - SLIM,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,,,
200.0,4281053710003,2018-08-01,EFEKT D.O.O.,company,K-018 SDS,2018,True,,
10000.0,4218973960008,2022-05-19,EFTIM TUZLIĆ DOO,company,K-004 STRANKA ZA BIH,2022,True,,
2000.0,4209710530000,2020-11-03,EGLO RASVJETA BH D.O.O.,company,K-2711 SOCIJALDEMOKRATE BIH,2020,True,,
500.0,4218018790009,2018-09-21,EKO-SERVIS DOO TESANJ,company,K-008 SDP BIH,2018,True,,
150.0,4209044290007,2022-09-22,ELEKTRIM DOO,company,K-008 SDP BIH,2022,True,,
200.0,4401282120002,2018-07-20,ELING INŽINJERING,company,K-018 SDS,2018,True,,
800.0,4227781610002,2018-09-21,ELCOM D.O.O. TUZLA,company,K-2320 PLATFORMA ZA PROGRES,2018,True,,
1000.0,4201815160002,2020-09-11,EZAM D.O.O.,company,K-877 NAŠA STRANKA,2020,,,
200.0,4209970790005,2022-09-27,EM-ELECTRONICS,company,K-2711 SOCIJALDEMOKRATE BIH,2022,True,,
500.0,4263241220007,2019-09-23,EMIR COMERC KURBEGOVIĆ DOO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,True,,
1000.0,4209669800003,2020-09-18,EN-UNION,company,K-2711 SOCIJALDEMOKRATE BIH,2020,True,,
200.0,4209669800003,2020-08-27,EN-UNION,company,K-2711 SOCIJALDEMOKRATE BIH,2020,True,,
10000.0,4218217300002,2022-12-31,ERDI D.O.O. ZAVIDOVIĆI,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,True,,
500.0,4218217300002,2023-05-24,ERDI D.O.O. ZAVIDOVIĆI,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2023,True,,
500.0,4209056460005,2018-09-25,EURO PROST,company,K-008 SDP BIH,2018,True,,
3000.0,4263287210006,2020-10-07,EUROING D.O.O.,company,K-2423 POKRET ZA MODERNU I AKTIVNU KRAJINU,2020,True,,
500.0,4263451110000,2022-09-29,EURO-JET DOO,company,K-008 SDP BIH,2022,True,,
10000.0,4218466780006,2022-11-02,EURO-METALI DOO,company,K-1182 SBB BIH,2022,True,,
5000.0,4218400250006,2022-09-23,EUROMONT D.O.O,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,True,,
15000.0,4202717790002,2020-12-31,EUROMONT DOO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
1000.0,4218895630004,2022-12-31,EURO-SKELE D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,True,,
250.0,4209211450003,2018-09-25,EUROTRANS DOO,company,K-008 SDP BIH,2018,True,,
100.0,4236522180007,2020-09-24,EXALICA D.O.O.,company,K-027 HDZ BIH,2020,True,,
150.0,,2019-05-24,EXTRA DOO,company,K-2321 POKRET DEMOKRATSKE AKCIJE,2019,,,
200.0,4201483810008,2019-06-17,FACIT DOO,company,K-2320 PLATFORMA ZA PROGRES,2019,True,,
10000.0,4200075750009,2022-06-07,FARMAVITA D.O.O.,company,K-008 SDP BIH,2022,True,,
1000.0,4263710820002,2018-09-13,FOREST SERVICE D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,True,,
5000.0,4236557990001,2020-12-31,FORTITUDO D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
2000.0,4236557990001,2018-09-24,FORTITUDO D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,True,,
1000.0,4236557990001,2019-12-31,FORTITUDO D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,True,,
2000.0,4272252760002,2022-05-30,FRANK TRGOVINA DOO,company,K-008 SDP BIH,2022,True,,
1000.0,4272252760002,2020-04-06,FRANK TRGOVINA DOO,company,K-008 SDP BIH,2020,True,,
5000.0,4200342030002,2018-05-30,GADZO COMERC DOO,company,K-2328 NEZAVISNA BH LISTA,2018,True,,
3000.0,4600086390002,2020-10-15,GALAX NISKOGRADNJA DD  BRČKO,company,K-1182 SBB BIH,2020,True,,
2000.0,4201829970007,2018-05-23,GAMA AA D.O.O SARAJEVO - AGENCIJA ZA ZAŠTITU LJUDI I IMOVINE,company,K-1706 SAVEZ ZA NOVU POLITIKU,2018,True,,
5000.0,4200087500008,2018-05-24,GEOTEHNOS D.O.O. SARAJEVO,company,K-2314 NEZAVISNI BLOK,2018,True,,
1000.0,4236044770006,2019-12-31,GRADI-H,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,True,,
1000.0,4600320840009,2020-10-28,GRADNJA DMD BRČKO,company,K-027 HDZ BIH,2020,,,
-2500.0,4218204230005,2018-08-28,GRADNJA-1 TEŠANJ D.O.O,company,K-008 SDP BIH,2018,True,,
1000.0,4236116940009,2019-12-31,"GRAND 99 D.O.O., TRAVNIK",company,K-090 STRANKA DEMOKRATSKE AKCIJE,2019,True,,
1500.0,4209122780008,2022-09-08,GRANDEX DOO,company,K-2711 SOCIJALDEMOKRATE BIH,2022,True,,
1000.0,4200851420006,2022-04-20,GREEN OIL D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,True,,
50000.0,4209997480008,2022-12-31,HEEZ TRANSPORT DOO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,True,,
49000.0,4209997480008,2018-08-30,HEEZ TRANSPORT DOO,company,K-2321 POKRET DEMOKRATSKE AKCIJE,2018,True,,
1000.0,4209997480008,2018-06-05,HEEZ TRANSPORT DOO,company,K-2321 POKRET DEMOKRATSKE AKCIJE,2018,True,,
300.0,4209076730009,2022-08-22,HELAKOR D.O.O.,company,K-008 SDP BIH,2022,True,,
500.0,4200092920007,2018-10-04,HERCEG D.O.O. SREBRENIK,company,K-008 SDP BIH,2018,True,,
300.0,4200092920007,2022-09-30,HERCEG D.O.O. SREBRENIK,company,K-008 SDP BIH,2022,True,,
300.0,4200092920007,2020-11-27,HERCEG D.O.O. SREBRENIK,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
300.0,4200092920007,2020-11-13,HERCEG D.O.O. SREBRENIK,company,K-1182 SBB BIH,2020,True,,
300.0,4200092920007,2020-11-13,HERCEG D.O.O. SREBRENIK,company,K-2328 NEZAVISNA BH LISTA,2020,True,,
300.0,4200092920007,2018-10-04,HERCEG D.O.O. SREBRENIK,company,K-2328 NEZAVISNA BH LISTA,2018,True,,
300.0,4209142540003,2020-11-13,HERCEG D.O.O. SREBRENIK,company,K-2622 PO ZAJEDNO ZA BOLJI SREBRENIK,2020,True,,
300.0,4200092920007,2022-09-30,HERCEG D.O.O. SREBRENIK,company,K-2711 SOCIJALDEMOKRATE BIH,2022,True,,
300.0,4200092920007,2020-10-20,HERCEG D.O.O. SREBRENIK,company,K-2711 SOCIJALDEMOKRATE BIH,2020,True,,
250.0,4200092920007,2018-09-21,HERCEG D.O.O. SREBRENIK,company,K-513 STR.PEN.UMIROVLJENIKA BIH,2018,True,,
500.0,4218228840009,2018-06-20,HG D.O.O.,company,K-1699 PRVA BH STRANKA,2018,True,,
-1000.0,4218015340002,2018-08-28,HIFA-OIL DOO TEŠANJ,company,K-008 SDP BIH,2018,True,,
-1000.0,4403832550002,2018-08-28,HIT DOO,company,K-008 SDP BIH,2018,True,,
200.0,4209226560000,2018-09-27,HOLEX D.O.O.,company,K-1698 DEMOKRATSKA FRONTA,2018,True,,
-130.0,4218001980009,2018-08-24,HUNES D.O.O.,company,K-008 SDP BIH,2018,True,,
300.0,4218599230009,2018-10-01,INDUSTRIJA 4B D.O.O. KAKANJ,company,K-008 SDP BIH,2018,True,,
1000.0,4200042070002,2020-10-21,INELEX D.O.O,company,K-2711 SOCIJALDEMOKRATE BIH,2020,True,,
1000.0,4236660810003,2022-09-05,IN-GRAD PROMET,company,K-008 SDP BIH,2022,True,,
300.0,4236610630004,2018-01-16,INOX PARTNER D.O.O.,company,K-008 SDP BIH,2018,True,,
200.0,4200747870008,2020-10-15,INTERCLIMA D.O.O. SARAJEVO,company,K-513 STR.PEN.UMIROVLJENIKA BIH,2020,True,,
2000.0,,2022-12-31,INTERPROCES DOO TEŠANJ,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2022,,,
250.0,4209630000000,2018-09-11,ISOWOOD D.O.O.,company,K-2320 PLATFORMA ZA PROGRES,2018,True,,
250.0,4209630000000,2018-09-11,ISOWOOD D.O.O.,company,K-2321 POKRET DEMOKRATSKE AKCIJE,2018,True,,
1000.0,4209264220000,2022-06-13,JATA GROUP DOO SREBRENIK,company,K-008 SDP BIH,2022,True,,
3000.0,4209264220000,2018-09-28,JATA GROUP DOO SREBRENIK,company,K-2328 NEZAVISNA BH LISTA,2018,True,,
500.0,4218478010001,2019-02-11,KAKANJ PETROL D.O.O,company,K-008 SDP BIH,2019,,,
500.0,4218478010001,2022-09-09,KAKANJ PETROL D.O.O,company,K-008 SDP BIH,2022,,,
300.0,4218478010001,2020-09-10,KAKANJ PETROL D.O.O,company,K-877 NAŠA STRANKA,2020,,,
150.0,,2018-09-19,KRAN D.O.O. OLOVO,company,K-008 SDP BIH,2018,,,
150.0,4401282040009,2018-07-24,KOMTEL DOO,company,K-018 SDS,2018,True,,
100.0,,2020-05-13,KONER DOO,company,K-008 SDP BIH,2020,,,
2000.0,4227131080009,2018-10-02,KONJIC-KARTON D.O.O.,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,True,,
2000.0,4209277800005,2018-09-19,KOPKOMERC D.O.O.,company,K-2321 POKRET DEMOKRATSKE AKCIJE,2018,True,,
500.0,4400856020005,2022-09-19,KRAJINA KLAS DOO,company,K-2324 NAŠA PRIČA REPUBLIKA SRPSKA,2022,True,,
300.0,4218168170009,2018-09-21,KRAN D.O.O. OLOVO,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2018,True,,
200.0,4263054110001,2023-12-31,LASER D.O.O,company,K-027 HDZ BIH,2023,True,,
500.0,4218580130003,2022-06-21,LIFE OIL,company,K-2317 NAROD I PRAVDA,2022,True,,
200.0,4505027590003,2020-11-04,LIMO-RAD,company,K-090 STRANKA DEMOKRATSKE AKCIJE,2020,True,,
700.0,4236566390009,2018-09-07,LUCIUS DOO,company,K-1705 HRVATSKA REPUBLIKANSKA STRANKA,2018,True,,
4000.0,4200160510009,2018-03-02,MALCOM DOO,company,K-2328 NEZAVISNA BH LISTA,2018,True,,
2900.0,4403800430005,2018-05-24,"MASTER INŽENJERING DOO, BANJA LUKA",company,K-026 STRANKA SPAS,2018,True,,
1100.0,4403800430005,2018-05-25,"MASTER INŽENJERING DOO, BANJA LUKA",company,K-026 STRANKA SPAS,2018,True,,
350.0,4403800430005,2018-02-22,"MASTER INŽENJERING DOO, BANJA LUKA",company,K-026 STRANKA SPAS,2018,True,,
250.0,4403800430005,2018-03-23,"MASTER INŽENJERING DOO, BANJA LUKA",company,K-026 STRANKA SPAS,2018,True,,
250.0,4403800430005,2018-11-13,"MASTER INŽENJERING DOO, BANJA LUKA",company,K-026 STRANKA SPAS,2018,True,,
220.0,4403800430005,2018-05-22,"MASTER INŽENJERING DOO, BANJA LUKA",company,K-026 STRANKA SPAS,2018,True,,
220.0,4403800430005,2018-02-02,"MASTER INŽENJERING DOO, BANJA LUKA",company,K-026 STRANKA SPAS,2018,True,,
195.0,4403800430005,2018-02-28,"MASTER INŽENJERING DOO, BANJA LUKA",company,K-026 STRANKA SPAS,2018,True,,
